,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
212,Q.3.11,Concepte d’àcid-base,Bloc 3. Reaccions químiques,Química,,
213,Q.3.12,Teoria de Brönsted-Lowry,Bloc 3. Reaccions químiques,Química,,
214,Q.3.13,"Força relativa dels àcids i de les bases, grau d’ionització",Bloc 3. Reaccions químiques,Química,,
215,Q.3.14,Equilibri iònic de l’aigua,Bloc 3. Reaccions químiques,Química,,
216,Q.3.15,Concepte de pH. Importància del pH a nivell biològic,Bloc 3. Reaccions químiques,Química,,
217,Q.3.16,Volumetries de neutralització àcid-base,Bloc 3. Reaccions químiques,Química,,
218,Q.3.17,Estudi qualitatiu de la hidròlisi de sals,Bloc 3. Reaccions químiques,Química,,
219,Q.3.18,Estudi qualitatiu de les dissolucions reguladores de pH,Bloc 3. Reaccions químiques,Química,,
220,Q.3.19,Àcids i bases rellevants a nivell industrial i de consum. Problemes mediambientals,Bloc 3. Reaccions químiques,Química,,
221,Q.3.20,Equilibri redox,Bloc 3. Reaccions químiques,Química,,
222,Q.3.21,Concepte d’oxidació-reducció. Oxidants i reductors. Nombred’oxidació,Bloc 3. Reaccions químiques,Química,,
223,Q.3.22,Ajust redox pel mètode de l’ió-electró. Estequiometria de les reaccions redox,Bloc 3. Reaccions químiques,Química,,
224,Q.3.23,Potencial de reducció estàndard,Bloc 3. Reaccions químiques,Química,,
225,Q.3.24,Volumetries redox,Bloc 3. Reaccions químiques,Química,,
226,Q.3.25,Lleis de Faraday de l’electròlisi,Bloc 3. Reaccions químiques,Química,,
227,Q.3.26,"Aplicacions i repercussions de les reaccions d’oxidació reducció: bateries elèctriques, piles de combustible, prevenció de la corrosió de metalls",Bloc 3. Reaccions químiques,Química,,
228,Q.4.1,Estudi de funcions orgàniques,Bloc 4. Síntesi orgànica i nous materials,Química,,
229,Q.4.2,Nomenclatura i formulació orgànica segons les normes de la IUPAC,Bloc 4. Síntesi orgànica i nous materials,Química,,
230,Q.4.3,"Funcions orgàniques d’interès: oxigenades i nitrogenades, derivats halogenats, tiols, peràcids. Composts orgànics polifuncionals",Bloc 4. Síntesi orgànica i nous materials,Química,,
231,Q.4.4,Tipus d’isomeria,Bloc 4. Síntesi orgànica i nous materials,Química,,
232,Q.4.5,Tipus de reaccions orgàniques,Bloc 4. Síntesi orgànica i nous materials,Química,,
233,Q.4.6,Principals composts orgànics d’interès biològic i industrial: materials polímers i medicaments,Bloc 4. Síntesi orgànica i nous materials,Química,,
234,Q.4.7,Macromolècules i materials polímers,Bloc 4. Síntesi orgànica i nous materials,Química,,
235,Q.4.8,Polímers d’origen natural i sintètic: propietats,Bloc 4. Síntesi orgànica i nous materials,Química,,
236,Q.4.9,Reaccions de polimerització,Bloc 4. Síntesi orgànica i nous materials,Química,,
237,Q.4.10,Fabricació de materials plàstics i seus transformats: impacte mediambiental,Bloc 4. Síntesi orgànica i nous materials,Química,,
238,Q.4.11,Importància de la Química del Carboni en el desenvolupament de la societat del benestar,Bloc 4. Síntesi orgànica i nous materials,Química,,
