,Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
60,F.3.11,Flux magnètic,Bloc 3. Interacció electromagnètica,Física,,
61,F.3.12,Lleis de Faraday-Henry i de Lenz. Força electromotriu,Bloc 3. Interacció electromagnètica,Física,,
62,F.4.1,Classificació i magnituds que caracteritzen les ones,Bloc 4. Ones,Física,,
63,F.4.2,Equació de les ones harmòniques,Bloc 4. Ones,Física,,
64,F.4.3,Energia i intensitat,Bloc 4. Ones,Física,,
65,F.4.4,Ones transversals en una corda,Bloc 4. Ones,Física,,
66,F.4.5,"Fenòmens ondulatoris: interferència i difracció,reflexió i refracció",Bloc 4. Ones,Física,,
67,F.4.6,Efecte Doppler,Bloc 4. Ones,Física,,
68,F.4.7,Ones longitudinals. El so,Bloc 4. Ones,Física,,
69,F.4.8,Energia i intensitat de les ones sonores. Contaminació acústica,Bloc 4. Ones,Física,,
70,F.4.9,Aplicacions tecnològiques del so,Bloc 4. Ones,Física,,
71,F.4.10,Ones electromagnètiques,Bloc 4. Ones,Física,,
72,F.4.11,Naturalesa i propietats de les ones electromagnètiques,Bloc 4. Ones,Física,,
73,F.4.12,L’espectre electromagnètic,Bloc 4. Ones,Física,,
74,F.4.13,Dispersió. El color,Bloc 4. Ones,Física,,
75,F.4.14,Transmissió de la comunicació,Bloc 4. Ones,Física,,
76,F.5.1,Lleis de l’òptica geomètrica,Bloc 5 Òptica geomètrica,Física,,
77,F.5.2,Sistemes òptics: lents i miralls,Bloc 5 Òptica geomètrica,Física,,
78,F.5.3,L’ull humà. Defectes visuals,Bloc 5 Òptica geomètrica,Física,,
79,F.5.4,Aplicacions tecnològiques: els instruments òptics i la fibra òptica,Bloc 5. Òptica geomètrica,Física,,
80,F.6.1,Introducció a la teoria de la relativitat especial,Bloc 6. Física del segle XX,Física,,
81,F.6.2,Energia relativista. Energia total i energia en repòs,Bloc 6. Física del segle XX,Física,,
82,F.6.3,Física quàntica,Bloc 6. Física del segle XX,Física,,
83,F.6.4,Insuficiència de la física clàssica,Bloc 6. Física del segle XX,Física,,
84,F.6.5,Orígens de la física quàntica. Problemes precursors,Bloc 6. Física del segle XX,Física,,
85,F.6.6,Interpretació probabilística de la física quàntica,Bloc 6. Física del segle XX,Física,,
86,F.6.7,Aplicacions de la física quàntica. El làser,Bloc 6. Física del segle XX,Física,,
87,F.6.8,Física nuclear,Bloc 6. Física del segle XX,Física,,
88,F.6.9,La radioactivitat. Tipus,Bloc 6. Física del segle XX,Física,,
89,F.6.10,El nucli atòmic. Lleis de la desintegració radioactiva,Bloc 6. Física del segle XX,Física,,
90,F.6.11,Fusió i fissió nuclears,Bloc 6. Física del segle XX,Física,,
91,F.6.12,Interaccions fonamentals de la naturalesa i partícules fonamentals,Bloc 6. Física del segle XX,Física,,
