Id,Contingut,Bloc,Matèria,Necessari per,Relacionat amb
F.6.4,Insuficiència de la física clàssica,Bloc 6. Física del segle XX,Física,"F.6.9,F.6.7,F.6.10,F.6.8,F.6.3,F.6.5","F.6.2,F.6.15,F.4.10,F.6.1,F.6.12,F.6.11,F.6.6,F.6.14,F.6.13,F.6.16,F.2.1,MII.1.6,MII.1.12"
F.6.5,Orígens de la física quàntica. Problemes precursors,Bloc 6. Física del segle XX,Física,"F.6.8,F.6.3,F.6.6","F.6.10,F.6.13,F.4.10,F.6.12,F.6.16,F.6.7,F.4.12,F.6.11,F.6.14,F.6.9,MII.1.6,MII.1.12"
F.6.6,Interpretació probabilística de la física quàntica,Bloc 6. Física del segle XX,Física,,"F.6.10,F.6.16,F.6.7,F.4.5,F.6.4,MII.1.6,MII.1.12,MII.1.1,MII.5.2,MII.5.5,MII.1.3,MII.5.3,MII.5.6,MII.5.1,MII.5.4"
F.6.7,Aplicacions de la física quàntica. El làser,Bloc 6. Física del segle XX,Física,,"F.6.16,F.4.13,F.6.6,F.5.1,F.5.4,F.6.5,F.4.1,F.4.5,F.1.2,F.4.14,MII.1.12,MII.1.6,MII.1.11"
F.6.8,Física nuclear,Bloc 6. Física del segle XX,Física,"F.6.10,F.6.11","F.6.15,F.6.2,F.6.1,F.4.10,F.6.13,F.6.14,F.6.12,F.6.9,F.4.11,F.6.16,MII.1.12"
F.6.9,La radioactivitat. Tipus,Bloc 6. Física del segle XX,Física,F.6.11,"F.4.10,F.6.14,F.6.2,F.6.1,F.6.13,F.6.12,F.6.3,F.6.8,F.4.11,F.4.12,F.6.16,F.6.10,F.6.5,MII.1.12"
F.6.10,El nucli atòmic. Lleis de la desintegració radioactiva,Bloc 6. Física del segle XX,Física,,"F.6.2,F.6.5,F.6.16,F.6.6,F.6.13,F.6.14,F.6.1,F.6.12,F.4.10,F.6.11,F.6.3,F.6.9,F.4.11,F.6.15,MII.1.12,MII.1.11,MII.1.3,MII.1.13,MII.1.7"
F.6.11,Fusió i fissió nuclears,Bloc 6. Física del segle XX,Física,,"F.6.15,F.6.16,F.6.3,F.4.11,F.6.13,F.6.2,F.4.10,F.6.10,F.6.4,F.6.12,F.6.5,MII.1.12"
F.6.12,Interaccions fonamentals de la naturalesa i partícules fonamentals,Bloc 6. Física del segle XX,Física,F.6.13,"F.6.15,F.6.2,F.6.1,F.4.11,F.2.6,F.6.10,F.6.14,F.6.3,F.6.9,F.3.1,F.6.8,F.6.5,F.6.4,F.6.16,F.2.4,F.6.11"
F.6.13,"Les quatre interaccions fonamentals de la naturalesa: gravitatòria, electromagnètica, nuclear forta i nuclear feble",Bloc 6. Física del segle XX,Física,,"F.4.11,F.6.16,F.3.10,F.6.10,F.2.4,F.6.5,F.6.15,F.2.1,F.6.11,F.6.9,F.6.8,F.3.1,F.3.5,F.3.3,F.6.4,F.6.3,F.2.2,F.3.7,F.6.14,MII.1.12"
F.6.14,Partícules fonamentals constitutives de l’àtom: electrons i quarks,Bloc 6. Física del segle XX,Física,F.6.11,"F.3.6,F.6.9,F.6.10,F.6.15,F.3.1,F.6.12,F.6.3,F.6.8,F.6.4,F.6.16,F.3.8,F.6.13,F.6.5,MII.1.12"
F.6.15,Història i composició de l’Univers,Bloc 6. Física del segle XX,Física,,"F.6.12,F.6.16,F.4.10,F.6.11,F.6.14,F.6.8,F.4.11,F.6.4,F.6.1,F.4.6,F.6.13,F.6.3,F.4.12,F.4.5,F.2.1,F.6.10,MII.1.12,MII.1.6"
F.6.16,Fronteres de la física,Bloc 6. Física del segle XX,Física,,"F.6.13,F.6.15,F.6.7,F.6.10,F.6.11,F.4.11,F.6.6,F.6.2,F.6.1,F.6.5,F.6.12,F.4.12,F.6.3,F.6.8,F.6.4,F.6.9,F.6.14,MII.1.6,MII.5.1,MII.1.12"
MI.1.1,Planificació del procés de resolució de problemes,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.2,"Estratègies i procediments posats en pràctica: relació amb altres problemes coneguts, modificació de variables, suposar el problema resolt","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.3,"Solucions i/o resultats obtinguts: coherència de les solucions amb la situació, revisió sistemàtica del procés, altres formes de resolució, problemes semblants, generalitzacions i particularitzacions interessants","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.4,"Iniciació a la demostració en matemàtiques: mètodes, raonaments, llenguatges","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.5,"Mètodes de demostració: reducció a l’absurd, mètode d’inducció, contraexemples, raonaments encadenats","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.6,Raonament deductiu i inductiu,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.7,"Llenguatge gràfic, algebraic, altres formes de representació d’arguments","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.8,Elaboració i presentació oral i/o escrita d’informes científics sobre el procés seguit en la resolució d’un problema o en la demostració d’un resultat matemàtic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.9,Realització d’investigacions matemàtiques a partir de contextos de la realitat o contextos del món de les matemàtiques,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.10,"Elaboració i presentació d’un informe científic sobre el procés, resultats i conclusions del procés d’investigació desenvolupat","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.11,"Pràctica dels processos de matematització i modelització, en contextos de la realitat i en contextos matemàtics","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.12,Confiança en les pròpies capacitats per desenvolupar actituds adequades i afrontar les dificultats pròpies del treball científic,"Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.1.13,"Utilització de mitjans tecnològics en el procés d’aprenentatge per: a) Recollir dades de forma ordenada i organitzar-les. b) Elaborar i crear representacions gràfiques de dades numèriques, funcionals o estadístiques. c) Facilitar la comprensió de propietats geomètriques o funcionals i la realització de càlculs de tipus numèric, algebraic o estadístic. d) Dissenyar simulacions i elaborar prediccions sobre situacions matemàtiques diverses. e) Elaborar informes i documents sobre els processos duits a terme i els resultats i conclusions obtinguts. f) Comunicar i compartir, en entorns apropiats, la informació i les idees matemàtiques","Bloc 1. Processos, mètodes i actituds en matemàtiques",Matemàtiques I,,
MI.2.1,Nombres reals: necessitat del seu estudi per a la comprensió de la realitat. Valor absolut. Desigualtats. Distàncies en la recta real. Intervals i entorns. Aproximació i errors. Notació científica,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.2,Nombres complexos. Forma binomial i polar. Representacions gràfiques,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.3,Operacions elementals. Fórmula de Moivre,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.4,"Successions numèriques: terme general, monotonia i acotació. El nombre e",Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.5,Logaritmes decimals i neperians. Equacions logarítmiques i exponencials,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.6,Plantejament i resolució de problemes de la vida quotidiana mitjançant equacions i inequacions. Interpretació gràfica,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.7,Resolució d’equacions no algebraiques senzilles,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.2.8,Mètode de Gauss per a la resolució i interpretació de sistemes d’equacions lineals,Bloc 2. Nombres i àlgebra,Matemàtiques I,,
MI.3.1,Funcions reals de variable real,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.2,"Funcions bàsiques: polinòmiques, racionals senzilles, valor absolut, arrel, trigonomètriques i les seves inverses, exponencials, logarítmiques i funcions definides a trossos",Bloc 3. Anàlisi,Matemàtiques I,MI.2.2,
MI.3.3,Operacions i composició de funcions. Funció inversa. Funcions d’oferta i demanda,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.4,Concepte de límit d’una funció en un punt i en l’infinit. Càlcul de límits. Límits laterals. Indeterminacions,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.5,Continuïtat d’una funció. Estudi de discontinuïtats,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.6,Derivada d’una funció en un punt. Interpretació geomètrica de la derivada de la funció en un punt. Recta tangent i normal,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.7,Funció derivada. Càlcul de funcions derivades. Regla de la cadena,Bloc 3. Anàlisi,Matemàtiques I,,
MI.3.8,Representació gràfica de funcions,Bloc 3. Anàlisi,Matemàtiques I,,
MI.4.1,Mesura d’un angle en radiants,Bloc 4. Geometria,Matemàtiques I,,
